,Sample,Compound,APE,Plasma_Glutamine_APE,Condition,FC_Gln_Substrate,Tissue
22,8,aspartate,0.006943650130545757,0.06888971763403963,Exercise,0.10079370868425185,liver
23,9,aspartate,0.010597623637078592,0.07486253314563235,Sedentary,0.14156111464279086,liver
24,10,aspartate,0.01084100620158715,0.06796373840095314,Exercise,0.159511622766106,liver
25,11,aspartate,0.010132834084042228,0.09491749002750353,Sedentary,0.10675413015142006,liver
26,12,aspartate,0.007030201272109137,0.12044116634955242,Exercise,0.058370418397523785,liver
27,13,aspartate,0.008479692201359228,0.11075127173367383,Sedentary,0.07656519034608056,liver
28,14,aspartate,0.011601471266484316,0.09901828859596734,Exercise,0.11716493418526729,liver
29,15,aspartate,0.010358550136847689,0.09203006205264677,Sedentary,0.11255615725785309,liver
30,1,malate,0.013793828615920396,0.10346535695772785,Exercise,0.1333183301301135,liver
31,2,malate,0.009986968755470492,0.07938803593591716,Sedentary,0.12579941848582923,liver
32,3,malate,0.012425308946444058,0.1294206661597859,Exercise,0.09600714719783214,liver
33,4,malate,0.008674569169116044,0.07726959114141162,Exercise,0.11226368667126314,liver
34,5,malate,0.008997142872789495,0.06733278000347986,Sedentary,0.13362203182943744,liver
35,6,malate,0.020974562179643216,0.07230068379896054,Exercise,0.29010185073719547,liver
36,7,malate,0.01364998535172596,0.10979942568510855,Sedentary,0.12431745673126256,liver
37,8,malate,0.007417498609105209,0.06888971763403963,Exercise,0.10767207159287429,liver
38,9,malate,0.010504817492950763,0.07486253314563235,Sedentary,0.1403214271752657,liver
39,10,malate,0.011620516791749972,0.06796373840095314,Exercise,0.17098113001369275,liver
40,11,malate,0.010930248232260477,0.09491749002750353,Sedentary,0.11515525989038795,liver
41,12,malate,0.010687181051411213,0.12044116634955242,Exercise,0.08873362302382692,liver
42,13,malate,0.01631081729538812,0.11075127173367383,Sedentary,0.14727431152764658,liver
43,14,malate,0.013108486351433449,0.09901828859596734,Exercise,0.13238449722072163,liver
44,15,malate,0.014713902171393137,0.09203006205264677,Sedentary,0.15988147615260645,liver
45,1,proline,0.0019024460710549396,0.10346535695772785,Exercise,0.01838727596360789,liver
46,2,proline,0.0005984829794692149,0.07938803593591716,Sedentary,0.007538704949853106,liver
47,3,proline,0.0021098451545738116,0.1294206661597859,Exercise,0.01630222758990396,liver
48,4,proline,0.0012127759468157505,0.07726959114141162,Exercise,0.015695384547800194,liver
